Name,Colors,Year,Genre,Style,Link
Woman Peeling Potatoes near a Window,"('#594842', '#8C7B74', '#BFAEA8', '#D9C7C1', '#402F2F')",1881,sketch and study,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/woman-peeling-potatoes-near-a-window-1881.jpg!Large.jpg
Woman Peeling Potatoes near a Window,"('#262324', '#403C3D', '#F1F2E9', '#D9D0C7', '#8C8281')",1881,genre painting,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/woman-peeling-potatoes-near-a-window-2-1881.jpg!Large.jpg
Woman Sewing,"('#261C20', '#594D51', '#8C8185', '#A69C9F', '#D9D0D3')",1881,sketch and study,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/woman-sewing-1881.jpg!Large.jpg
Woman Sewing,"('#1B1726', '#D9B589', '#D9BEA7', '#736055', '#BF7256')",1881,genre painting,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/woman-sewing-1881-1.jpg!Large.jpg
Woman Sitting at the Fireside,"('#8C8C88', '#F2F2F0', '#BFBFBD', '#404040', '#262626')",1881,genre painting,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/woman-sitting-at-the-fireside-1881.jpg!Large.jpg
Woman Sitting on a Basket with Head in Hands,"('#3E4034', '#A6A26F', '#73704D', '#59573C', '#BFB78F')",1881,genre painting,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/woman-sitting-on-a-basket-with-head-in-hands.jpg!Large.jpg
Young woman knitting,"('#3C4473', '#435373', '#A67F5D', '#734930', '#402921')",1881,genre painting,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/young-woman-knitting-1881.jpg!Large.jpg
Young Woman Sewing,"('#59434B', '#D9CCC5', '#403434', '#594C4C', '#8C8080')",1881,genre painting,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/young-woman-sewing-1881.jpg!Large.jpg
Donkey and Cart,"('#F2C572', '#F2B56B', '#59391D', '#A66B38', '#260B01')",1881,genre painting,Post-Impressionism,https://uploads6.wikiart.org/images/vincent-van-gogh/donkey-and-cart(1).jpg!Large.jpg
Route,"('#F2EFBD', '#F2D5A0', '#A68A68', '#261E17', '#735E4C')",1881,sketch and study,Post-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/route.jpg!Large.jpg
"Woman near a Window twice, Man with Winnow, Sower, and Woman with Broom","('#F2D399', '#8C7C5E', '#40392C', '#F2DBAE', '#F2D6B3')",1881,sketch and study,Post-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/woman-near-a-window-twice-man-with-winnow-sower-and-woman-with-broom.jpg!Large.jpg
The Bridge,"('#403C3D', '#D9D0C7', '#F2EAE4', '#8C8887', '#0D0000')",1882,sketch and study,Post-Impressionism,https://uploads7.wikiart.org/images/vincent-van-gogh/the-bridge.jpg!Large.jpg
A Carpenter with Apron,"('#262521', '#403E3B', '#73726E', '#A6A5A1', '#D9D8D7')",1882,portrait,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/a-carpenter-with-apron-1882(1).jpg!Large.jpg
A Girl in a Wood,"('#394020', '#F2E5BD', '#595142', '#A69880', '#F2DCC2')",1882,sketch and study,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/a-girl-in-a-wood-1882(1).jpg!Large.jpg
"A Girl in the Street, Two Coaches in the Background","('#F2EA79', '#D9B64E', '#594011', '#A67A29', '#261501')",1882,genre painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/a-girl-in-the-street-two-coaches-in-the-background-1882(1).jpg!Large.jpg
An Almshouse Man in a Top Hat,"('#14261B', '#736C4D', '#D9B779', '#D9C196', '#BF925A')",1882,portrait,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/an-almshouse-man-in-a-top-hat-1882(1).jpg!Large.jpg
Baby,"('#D9B777', '#F2D399', '#BF8845', '#8C5230', '#593122')",1882,portrait,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/baby(1).jpg!Large.jpg
Baby in a Carriage,"('#26241B', '#59574C', '#8C8A80', '#D9D7CC', '#BFBDB4')",1882,sketch and study,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/baby-in-a-carriage(1).jpg!Large.jpg
Beach and Boats,"('#3E4032', '#736751', '#A6977C', '#D9CAAD', '#F2E2C4')",1882,sketch and study,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/beach-and-boats-1882(1).jpg!Large.jpg
Beach and Sea,"('#3E4019', '#403728', '#8C7F65', '#D9C8A9', '#D9C8B4')",1882,sketch and study,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/beach-and-sea-1882(1).jpg!Large.jpg
Beach at Scheveningen in Calm Weather,"('#F2F2F2', '#F2E085', '#BFAA69', '#A66641', '#A64C38')",1882,landscape,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/beach-at-scheveningen-in-calm-weather-1882(1).jpg!Large.jpg
Beach with People Walking and Boats,"('#D9D1B8', '#BF9E60', '#D9C091', '#595140', '#A68660')",1882,genre painting,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/beach-with-people-walking-and-boats-1882(1).jpg!Large.jpg
Bench in a Wood,"('#F2F2F2', '#BFBFBF', '#737373', '#262626', '#0D0D0D')",1882,landscape,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/bench-in-a-wood-1882(1).jpg!Large.jpg
Bench with Four Persons,"('#F2DFCE', '#D9BDAD', '#593A2E', '#73564C', '#A6877C')",1882,sketch and study,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/bench-with-four-persons-1882(1).jpg!Large.jpg
Bench with Four Persons and Baby,"('#252624', '#595958', '#A6A5A4', '#F2F0F0', '#0D0D0D')",1882,genre painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/bench-with-four-persons-and-baby-1882(1).jpg!Large.jpg
Bench with Three Persons,"('#A6A5A4', '#F2F2F2', '#737373', '#404040', '#0D0D0D')",1882,genre painting,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/bench-with-three-persons-1882(1).jpg!Large.jpg
