Name,Rgb
Peach Puff,"(238, 203, 173)"
Peach Puff,"(205, 175, 149)"
Peach Puff,"(139, 119, 101)"
Pear,"(209, 226, 49)"
Pearly Purple,"(183, 104, 162)"
Persian Blue,"(28, 57, 187)"
Persian Green,"(0, 166, 147)"
Persian Indigo,"(50, 18, 122)"
Persian Orange,"(217, 144, 88)"
Persian Pink,"(247, 127, 190)"
Persian Plum,"(112, 28, 28)"
Persian Red,"(204, 51, 51)"
Persian Rose,"(254, 40, 162)"
Pewter Blue,"(139, 168, 183)"
Phthalo Blue,"(0, 15, 137)"
Phthalo Green,"(18, 53, 36)"
Pictorial Carmine,"(195, 11, 78)"
Piggy Pink,"(253, 221, 230)"
